CVE,Risk,Host,Protocol,Port,Name,Description,Solution
,None,192.168.170.91,tcp,80,"HTTP Server Type and Version","This plugin attempts to determine the type and the version of the
  remote web server.",n/a
,None,192.168.170.91,tcp,443,"HTTP Server Type and Version","This plugin attempts to determine the type and the version of the
  remote web server.",n/a
,None,192.168.170.91,tcp,4443,"HTTP Server Type and Version","This plugin attempts to determine the type and the version of the
  remote web server.",n/a
,None,192.168.170.91,tcp,8000,"HTTP Server Type and Version","This plugin attempts to determine the type and the version of the
  remote web server.",n/a
,None,192.168.170.91,tcp,8080,"HTTP Server Type and Version","This plugin attempts to determine the type and the version of the
  remote web server.",n/a
CVE-1999-0524,None,192.168.170.91,icmp,0,"ICMP Timestamp Request Remote Date Disclosure","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14)."
CVE-1999-0632,None,192.168.170.91,udp,111,"RPC portmapper Service Detection","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.",n/a
,None,192.168.170.91,tcp,22,"SSH Server Type and Version Information","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.",n/a
,None,192.168.170.91,udp,0,"Traceroute Information","Makes a traceroute to the remote host.",n/a
,None,192.168.170.91,tcp,80,"Web Server robots.txt Information Disclosure","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material."
,None,192.168.170.91,tcp,8000,"Web Server robots.txt Information Disclosure","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material."
,None,192.168.170.91,tcp,2049,"NFS Share Export List","This plugin retrieves the list of NFS exported shares.","Ensure each share is intended to be exported."
,None,192.168.170.91,udp,161,"SNMP Query System Information Disclosure","It is possible to obtain the system information about the remote
host by sending SNMP requests with the OID 1.3.6.1.2.1.1.1.

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port."
,None,192.168.170.91,tcp,4443,"SSL Certificate Information","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.",n/a
,None,192.168.170.91,tcp,22,"SSH Protocol Versions Supported","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.",n/a
,None,192.168.170.91,udp,123,"Network Time Protocol (NTP) Server Detection","An NTP server is listening on port 123. If not securely configured,
it may provide information about its version, current date, current
time, and possibly system information.",n/a
,None,192.168.170.91,tcp,111,"RPC Services Enumeration","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.",n/a
,None,192.168.170.91,tcp,833,"RPC Services Enumeration","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.",n/a
,None,192.168.170.91,tcp,946,"RPC Services Enumeration","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.",n/a
,None,192.168.170.91,tcp,961,"RPC Services Enumeration","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.",n/a
